fecha,EST,LAT,LONG,TEMPERATURA,PH,OXIGENO_DISUELTO,CONDUCTIVIDAD,TURBIEDAD,ALCALINIDAD_TOTAL,CLORUROS_TOTALES,DUREZA_TOTAL,FLUORUROS,NITROGENO_DE_NITRATOS,NITROGENO_DE_NITRITOS,NITROGENO_AMONIACAL,NITROGENO_TOTAL_KJELDAHL,SULFATOS,SAAM,DBO_5,DQO,GRASAS_Y_ACEITES,FOSFORO_TOTAL,SST,SOLIDOS_DISUELTOS_TOT,SOLIDOS_SEDIMENTABLES,SULFUROS,ALUMINIO,ARSENICO,BARIO,CADMIO,COBRE,CROMO,FIERRO,MANGANESO,MERCURIO,NIQUEL,PLOMO,SODIO,ZINC,COLIFORMES_TOTALES,COLIFORMES_FECALES,MATERIA_FLOTANTE,TEMP_AMBIENTE,ACIDEZ_TOTAL,DUREZA_DE_CALCIO,SOLIDOS_TOTALES,NITROGENO_TOTAL
17/11/10,RS-01,20.346928,-102.779392,15.4,6.97,0.67,792,19,264,62,229,0.8027,0,0,1.32,4.28,81.41,0.291,21.24,81.063,8,1.42,9,572,0,3.8,0.077,0,0,0,0,0,0.164,0.111,8.00E-04,0,0,69.7,0,93000,23000,0,5,0,0,581,4.28
09/09/09,RS-01,20.346928,-102.779392,22,7.68,0.6,285,108,149.8,27.4,17.6,0.39,2.14,0.207,1.187,2.99,81.96,0.11,5.19,56.34,1.6,0.186,43,290,0,0,5.267,0,0,0,0,0,6.345,0.268,6.00E-04,0,0,14,0,230000,230000,0,23,9.58,0,333,5.337
05/08/19,RS-01,20.346928,-102.779392,23,7.2,0.46,423,70,152.6,23.16,95.35,0.97,0.3,0,3.16,4.91,43.5,0.35,18,49.9,0,1.37,76,360,0.5,2.01,7.1508,0,0.0957,6.20E-04,0,0,4.186,0.567,0,0,0,21.6,0.02,4,2,0,23,19.33,90.67,336,3.46
14/02/17,RS-01,20.346928,-102.779392,20.7,8.3,0,908,40,330.24,57.33,211.92,0.64,0.22,0,0,1.58,96.4,0,5.91,29,0,0.69,27,624,0,0,3.7831,0.0043,0.1562,7.20E-04,0,0,2.092,0.065,0,0,0,119.99,0,15,7,0,16.8,0,0,651,1.8
10/11/20,RS-01,20.346928,-102.779392,21,7.9,5.55,962,36,347.1,60.09,161.31,1.25,0.23,0,0.94,2.06,104.05,0.13,3.09,36.7,0,0.56,34,623,0,0.15,1.785,0.018,0.192,0.00177,0,0,4.291,0,0,0,0.0119,84.2,0,24,9,0,27,15.3,131.4,657,2.29
04/03/15,RS-01,20.346928,-102.779392,22.4,8.61,3.81,0,110,341.11,62.8,202.67,1.66,0.11,0.022,1.71,3.54,94.59,0.19,5.76,54.34,8.37,0.74,117,718,0.1,1.99,9.1034,0.0055,0.0075,5.00E-04,0.05,0.05,5.456,0.158,7.00E-04,0.1,0.0025,123.9,0.024,24000,24000,1,0,0,0,835,3.65
03/08/16,RS-01,20.346928,-102.779392,22.5,7.26,3.11,288,240,91.47,9.16,98.59,0,2.52,0.241,1.14,3.23,67.04,0,5.34,39.73,0,1.14,206,304,0.3,1.56,21.725,0,0.0149,0,0,0,13.409,0.219,9.00E-04,0,0,11.9,0,460,461,1,26.9,0,0,510,5.99
23/10/12,RS-01,20.346928,-102.779392,23,7.11,1.85,500,25,212.31,25.27,138.59,0.38,0,0,1.46,2.6,23.56,1.11,22.02,56.97,0,0.94,35,313,0,3.14,1.6524,0.0025,0.0513,5.50E-04,0,0,0.829,0.372,0,0,0.0052,35.9,0.246,1100000,1100000,1,23.3,0,0,348,2.6
06/03/13,RS-01,20.346928,-102.779392,19.1,8.75,4.51,1067,60,375.13,62.83,258.13,1.19,0,0.01,0.98,2.87,94.07,0.19,2.03,35.02,0,0.58,85,720,0,0.86,1.1243,0,0.1723,0,0,0,3.403,0.083,0,0,0.0033,14.7,0.213,230,230,0,23.6,0,0,805,2.87
15/07/20,RS-01,20.346928,-102.779392,24,6.2,3.27,485,35,192.7,27.35,116.66,1.73,0,0,4.07,5.99,0,0.6,7.59,35.42,0,1.91,46,278,0.1,1.22,3.8167,0,0.9709,0,0,0,2.428,0.261,8.00E-04,0,0,35,0,2,2,0,28,20.27,81.54,324,5.99
21/02/12,RS-01,20.346928,-102.779392,17.8,6.93,1.98,692,25,257.78,43.52,174.83,0.53,0.11,0.05,3.28,8.88,50.63,1.16,15.12,55.28,0,1.01,23,459,0.2,4.7,0.7807,0.003,0.0906,0,0,0,0.997,0.342,9.70E-04,0,0,62.3,0.055,930000,430000,1,24.5,0,0,482,12.64
03/08/15,RS-01,20.346928,-102.779392,23.5,7.14,2.05,312,7.6,127.37,13.1,91.74,0.36,3.55,0.618,0.65,1.48,18.02,0,3.54,0,0,0.51,13,228,0,1.56,0.4554,0,0,0,0,0,1.094,0.123,0,0,0,0,0,240,240,0,22.9,0,0,241,5.65
12/06/14,RS-01,20.346928,-102.779392,24.4,7.48,1.62,1014,34,353.98,61.9,157.02,1.27,0,0,3.63,4.33,74.59,0.56,5.41,74.9,0,0.95,26,673,0,7.09,0.6728,0.0061,0,0,0,0,2.99,0.104,0,0,0,117.9,0,460000,240000,0,26.4,0,0,699,4.33
27/05/21,RS-01,20.346928,-102.779392,25,7.9,6.05,1106,50,369.89,75.3,230.03,1.49,0,0.019,1.46,3.03,128.55,0,3.54,57.61,0,0.49,94,736,0,0.38,4.56,0.0143,0.213,0.00119,0,0,3.498,0.078,0,0,0.0164,127,0.032,4,4,0,27,0,119.39,830,3.05
01/07/15,RS-01,20.346928,-102.779392,21.6,6.94,1.11,255,200,96.63,10.23,109.6,0,6.75,0.185,0.72,2.05,20.99,0,6.47,0,0,1.06,112,328,0,1.88,15.3043,0,0.0056,0,0,0,9.723,0.142,0,0,0,0,0.034,75000,43000,1,25.5,0,0,440,8.98
08/02/16,RS-01,20.346928,-102.779392,17,8.03,3.55,919,27,296.96,56.9,211.99,0.84,0.61,0,0,1.53,93.85,0,1.48,25.8,0,0.74,18,652,0,4.56,2.8336,0.0076,0.0129,0,0,0,2.105,0.07,6.00E-04,0,0,108,0.038,4,4,1,13.3,0,0,670,41.87
11/04/16,RS-01,20.346928,-102.779392,24.2,8.32,2.02,989,40,344.89,59.78,199.94,1.58,0.16,0,0,2.29,93.89,0,11.46,94.21,0,0.65,43,608,0,2.1,3.7411,0.0031,0.0135,0,0,0,3.036,0.077,7.40E-04,0,0,114.4,0,11,1,0,27.1,0,0,651,2.45
10/02/21,RS-01,20.346928,-102.779392,20,8.7,5.8,994,37,365.11,65.61,232.43,1.27,0,0,0,2.75,106.6,0.14,3.63,22.25,0,0.59,55,662,0,0.56,6.14,0.0027,0.086,7.60E-04,0,0,2.339,0.062,5.60E-04,0,0.0078,113.6,0.021,110,110,0,13,0,131,717,2.75
20/04/09,RS-01,20.346928,-102.779392,23,8.01,1.61,782,200,351.8,4.7,163.6,0.65,0.42,0,1.29,2.58,61.06,5.16,8.4,49,7.06,0.33,71,575,0,0.062,4.691,0.0136,0,0,0,0,4.435,0.117,0,0,0,68.9,0.081,0,0,0,25,9.9,0,646,3
12/03/18,RS-01,20.346928,-102.779392,25,8.4,3.2,972.9,45,375.15,67.69,230.21,1.61,0,0,0,3.44,115.26,0,2.91,33.63,0,0.5,37,653,0,1.46,3.2245,0.0076,0.1651,0,0,0,2.013,0.063,9.80E-04,0,0.0029,94,0,11,11,0,30,0,126.55,690,3.44
